#SampleID,SampleName,Type,Treatment,Replicate,Type2,Type3,Type4,NO3,DON,NH4,HIX,BIX,d15N,d13C,DIN,CN,DOC,PO4,BAC,FUN
Bac_001,T019,alder_s,C,C2,alder,alder_sC,alderC,0.404182171,3.952917829,0.1295,3.04,0.54,-0.211857143,-28.02242857,0.702082171,17.9,268.3347847,0.1646,51.03550636,43.16304652
Bac_002,T018,alder_s,C,C1,alder,alder_sC,alderC,0.411441695,3.286458305,0.2415,3.14,0.52,-0.029857143,-28.36342857,0.808541695,20.1,300.9783174,0.1789,91.86900915,59.76532274
Bac_003,T021,alder_s,I,I1,alder,alder_sI,alderI,0.411542988,4.757007012,1.572,4.99,0.54,-2.329857143,-28.21342857,2.217992988,27.9,239.1544422,0.23275,0.213453735,213.5372199
Bac_004,T020,alder_s,C,C3,alder,alder_sC,alderC,0.347652335,4.241247665,0.1065,3.35,0.54,-0.907857143,-28.40442857,0.643752335,18.9,332.7288799,0.15855,2116.192925,516.5694674
Bac_005,T015,alder_l,B,B1,alder,alder_lB,alderB,0.4853028,3.5886972,0.5045,2.96,0.55,-1.620857143,-27.96542857,1.2213028,19.7,236.5273099,0.18265,223.7072129,41.96650466
Bac_006,T100,t_algae_l,Other_tile,agl2,tile,t_algae_lT,tileOther,,,,,,,,,,,,,
Bac_007,T017,alder_l,B,B3,alder,alder_lB,alderB,0.28527607,3.21142393,0.1965,2.86,0.53,-4.756857143,-27.98542857,0.78857607,16.3,239.2772357,0.2023,10.61370088,4.236877531
Bac_008,T016,alder_l,B,B2,alder,alder_lB,alderB,0.452880441,3.487319559,0.2205,3.31,0.51,-1.176857143,-28.19142857,0.782680441,20.6,247.5728451,0.1818,61.78976573,77.99192338
Bac_009,B15,,,,,,,,,,,,,,,,,,,
Bac_010,T099,t_algae_l,Other_tile,agl1,tile,t_algae_lT,tileOther,,,,,,,,,,,,,
Bac_011,T101,t_algae_l,Other_tile,agl3,tile,t_algae_lT,tileOther,,,,,,,,,,,,,
Bac_012,T055,algae_s,T,T2,algae,algae_sT,algaeT,5.377608799,3.657341201,1.135,3.59,0.74,-1.463333333,-17.66825,6.827658799,8.1,76.89600728,0.13795,1.638471304,
Bac_013,T054,algae_s,T,T1,algae,algae_sT,algaeT,5.042326572,3.398373428,1.063,4.11,0.71,-0.852333333,-21.69525,6.446626572,8.9,64.76411657,0.1518,1.367721779,
Bac_014,T052,algae_s,I,I2,algae,algae_sI,algaeI,6.634891844,8.601808156,9.6035,3.22,0.69,-1.878333333,-20.26725,16.63319184,8,72.9976326,0.6568,1.968737936,
Bac_015,T056,algae_s,T,T3,algae,algae_sT,algaeT,5.128160464,4.631939536,1.125,3.7,0.73,-0.885333333,-18.98125,6.573060464,7.2,83.04764303,0.1707,0.329306875,
Bac_016,T050,algae_s,C,C3,algae,algae_sC,algaeC,6.486848326,4.767001674,0.469,4.23,0.69,-2.811,-17.42885714,7.337998326,9.2,70.13077064,0.16415,221.8335037,9.854762323
Bac_017,T096,t_alder_s,Other_tile,as1,tile,t_alder_sT,tileOther,,,,,,,,,,,,,
Bac_018,T053,algae_s,I,I3,algae,algae_sI,algaeI,6.882760752,9.148489248,10.184,3.59,0.7,-2.538333333,-19.91825,17.39651075,7.5,90.52870255,0.7723,0.43098838,0.774880116
Bac_019,T051,algae_s,I,I1,algae,algae_sI,algaeI,7.713136133,10.89876387,12.032,3.73,0.74,0.832666667,-21.87725,20.06623613,7.8,87.90345619,0.6588,1.066554892,
Bac_020,T097,t_alder_s,Other_tile,as2,tile,t_alder_sT,tileOther,,,,,,,,,,,,,
Bac_021,T095,t_alder_l,Other_tile,al3,tile,t_alder_lT,tileOther,,,,,,,,,,,,,
Bac_022,T098,t_alder_s,Other_tile,as3,tile,t_alder_sT,tileOther,,,,,,,,,,,,,
Bac_023,T082,feces_s,I,I2,feces,feces_sI,facesI,6.83476185,6.64708815,8.4085,3.71,0.79,1.035,-25.43885714,15.75791185,6.9,62.46725728,0.6602,2.233112185,0.042291374
Bac_024,T081,feces_s,I,I1,feces,feces_sI,facesI,6.427279577,6.153870423,5.7465,4.45,0.69,2.897,-26.74585714,12.79112958,9.1,70.55925479,0.5856,20.22538093,0.106656058
Bac_025,T080,feces_s,C,C3,feces,feces_sC,facesC,6.096079707,3.334870293,0.107,4.64,0.71,-0.325,-26.00785714,6.660129707,15.8,58.78151869,0.14725,28.4792088,
Bac_026,T084,feces_s,T,T1,feces,feces_sT,facesT,7.018610966,4.475989034,0.576,4.24,0.7,2.555,-26.50185714,7.949010966,7.6,58.10718556,0.14305,2.023836011,
Bac_027,T083,feces_s,I,I3,feces,feces_sI,facesI,7.738322108,9.970777892,11.153,3.65,0.73,2.863,-26.97485714,19.31422211,8.9,65.53408739,0.82985,35.33923657,
Bac_028,T078,feces_s,C,C1,feces,feces_sC,facesC,6.50470705,2.65474295,0.1315,4.71,0.67,9.947,-29.66585714,7.03025705,30.4,56.33359707,0.0997,0.354113077,
Bac_029,B12,,,,,,,,,,,,,,,,,,,
Bac_030,T079,feces_s,C,C2,feces,feces_sC,facesC,6.789577056,5.720822944,0.1595,4.28,0.68,3.517,-26.90185714,7.194177056,9.7,51.05901879,0.1808,27.79204704,
Bac_031,T125,,,,,,,,,,,,,,,,,,,
Bac_032,T124,,,,,,,,,,,,,,,,,,,
Bac_033,T126,,,,,,,,,,,,,,,,,,,
Bac_034,T012,alder_l,M,M1,alder,alder_lM,alderM,0.378233492,2.629366508,0.1935,4.73,0.58,-0.597666667,-28.27916667,0.880633492,13.7,190.1910606,0.1844,28.6413543,0.496727404
Bac_035,T011,alder_l,T,T3,alder,alder_lT,alderT,0.34172514,5.22177486,0.1835,6.75,0.56,-2.057857143,-28.11842857,0.74822514,17.5,182.9679222,0.1856,76.64574235,8.885977535
Bac_036,T009,alder_l,T,T1,alder,alder_lT,alderT,0.2524161,3.3306839,0.1485,4.9,0.52,-0.811857143,-27.53242857,0.8093161,20,340.7036646,0.25095,4.771389346,12.47720547
Bac_037,T014,alder_l,M,M3,alder,alder_lM,alderM,0.419326274,2.104473726,0.1245,4.73,0.58,0.798333333,-26.68116667,0.675526274,12.3,184.9292664,0.1436,5.206606353,1.779361547
Bac_038,T013,alder_l,M,M2,alder,alder_lM,alderM,0.427034738,2.858065262,0.5895,5.15,0.58,-1.334666667,-27.98416667,1.211934738,12.5,155.6199104,0.1633,166.9443502,23.35829178
Bac_039,T008,alder_l,I,I3,alder,alder_lI,alderI,0.412882515,6.427567485,7.008,5.2,0.58,0.337333333,-27.12216667,7.722432515,16.1,173.2540116,0.50145,67.9610197,11.84984954
Bac_040,B14,,,,,,,,,,,,,,,,,,,
Bac_041,T010,alder_l,T,T2,alder,alder_lT,alderT,0.394056743,2.662943257,0.1395,5.88,0.58,2.148142857,-28.34042857,0.787056743,25.3,140.6190653,0.1856,31.36462812,3.096123496
Bac_042,T093,t_alder_l,Other_tile,al1,tile,t_alder_lT,tileOther,,,,,,,,,,,,,
Bac_043,T092,feces_s,B,B3,feces,feces_sB,facesB,28.98740726,7.613892736,0.315,3.98,0.68,-3.183,-27.23585714,29.72110726,22.7,59.34729242,0.17375,12980.77319,225.7355717
Bac_044,T094,t_alder_l,Other_tile,al2,tile,t_alder_lT,tileOther,,,,,,,,,,,,,
