"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"d0393e07344ee1eda976d02a7a1e8d61","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","Limnohabitans_sp."
"f9a1bf2560266ad6ce5258b85ffed031","d__Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"4aaf7c5191a6ce791b1211b0fd8a5488","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"978324fe7e81e27609a58e46552282ab","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA
"a30256b75e77270e84f5876c2d62c7da","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_succinicans"
"da5924ba1ff2c30dd489e95369c2fab1","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured_soil"
"7faab38ff5285a7d3092e4a36888d786","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Sphaerotilus","uncultured_beta"
"364fce0a4d5e8b2895bddb16c3274aa8","d__Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",NA
"5efc3d127df29a6f2e976cae828e203b","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"9c811df278c132f488c8bb23a5a7274b","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"e5d2897df2f464827244b871d67ee050","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA
"df3fda2fa3d04dd5e0838ac1b4812be8","d__Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus","uncultured_bacterium"
"7fae08431d6a532fb2525b39124f01e7","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","Limnohabitans_sp."
"1a34bae179e2c24ce983937ba9caff19","d__Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Spirogyra_pratensis"
"fc672ff88dc475b143532167712d4329","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"73ec397d035244c7734fc7513050637d","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group","uncultured_Acidimicrobiales"
"4fd23420e7baffd64f004068e8da4e2a","d__Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a","uncultured_bacterium"
"7ef1a0dae839d9d8f6a042cdf4a6a992","d__Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"132398ae30585fc78b3f5712f4c1f5ed","d__Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anaerobacillus","uncultured_bacterium"
"55ff6faf3d171ef953a5f98ffa6d7dd1","d__Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group","uncultured_Ilumatobacter"
"b5d5b4257a5f9a836315f5896d4a47da","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter",NA
"bef6a0d49921755d76c5bd5f731f28f8","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"80964097f7a7f6a21c79cf8524d20b9e","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"de451fb33ed58e6d3c4dcb950e90284d","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",NA
"ac2d7285ae1dae8d053a97ef343d8959","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
