,SampleName,Group,Type,Treatment,Replicate,Type2,Description
Fun_000,T019,Sample,alder_s,C,C2,alder,alder_s_C
Fun_001,T018,Sample,alder_s,C,C1,alder,alder_s_C
Fun_002,T021,Sample,alder_s,I,I2,alder,alder_s_I
Fun_003,T020,Sample,alder_s,C,C3,alder,alder_s_C
Fun_004,T015,Sample,alder_l,B,B1,alder,alder_l_B
Fun_005,T100,Sample,t_algae_l,Other,agl2,tile,t_algae_l_Other
Fun_006,T017,Sample,alder_l,B,B3,alder,alder_l_B
Fun_007,T016,Sample,alder_l,B,B2,alder,alder_l_B
Fun_008,B15,Miss,,,,,
Fun_009,T099,Sample,t_algae_l,Other,agl1,tile,t_algae_l_Other
Fun_010,T101,Sample,t_algae_l,Other,agl3,tile,t_algae_l_Other
Fun_011,T055,Sample,algae_s,T,T2,algae,algae_s_T
Fun_012,T054,Sample,algae_s,T,T1,algae,algae_s_T
Fun_013,T052,Sample,algae_s,I,I2,algae,algae_s_I
Fun_014,T056,Sample,algae_s,T,T3,algae,algae_s_T
Fun_015,T050,Sample,algae_s,C,C3,algae,algae_s_C
Fun_016,T096,Sample,t_alder_s,Other,as1,tile,t_alder_s_Other
Fun_017,T053,Sample,algae_s,I,I3,algae,algae_s_I
Fun_018,T051,Sample,algae_s,I,I1,algae,algae_s_I
Fun_019,T097,Sample,t_alder_s,Other,as2,tile,t_alder_s_Other
Fun_020,T098,Sample,t_alder_s,Other,as3,tile,t_alder_s_Other
Fun_021,T082,Sample,feces_s,I,I2,feces,feces_s_I
Fun_022,T081,Sample,feces_s,I,I1,feces,feces_s_I
Fun_023,T080,Sample,feces_s,C,C3,feces,feces_s_C
Fun_024,T084,Sample,feces_s,T,T1,feces,feces_s_T
Fun_025,T083,Sample,feces_s,I,I3,feces,feces_s_I
Fun_026,T078,Sample,feces_s,C,C1,feces,feces_s_C
Fun_027,B12,Miss,,,,,
Fun_028,T079,Sample,feces_s,C,C2,feces,feces_s_C
Fun_029,T125,Miss,,,,,
Fun_030,B20,Miss,,,,,
Fun_031,T012,Sample,alder_l,M,M1,alder,alder_l_M
Fun_032,T011,Sample,alder_l,T,T3,alder,alder_l_T
Fun_033,T014,Sample,alder_l,M,M3,alder,alder_l_M
Fun_034,T013,Sample,alder_l,M,M2,alder,alder_l_M
Fun_035,T008,Sample,alder_l,I,I3,alder,alder_l_I
Fun_036,T093,Sample,t_alder_l,Other,al1,tile,t_alder_l_Other
Fun_037,T092,Sample,feces_s,B,B3,feces,feces_s_B
Fun_038,T094,Sample,t_alder_l,Other,al2,tile,t_alder_l_Other
Fun_039,T033,Sample,algae_l,C,C1,algae,algae_l_C
Fun_040,T031,Sample,alder_s,B,B2,alder,alder_s_B
Fun_041,T035,Sample,algae_l,C,C3,algae,algae_l_C
Fun_042,T034,Sample,algae_l,C,C2,algae,algae_l_C
Fun_043,T029,Sample,alder_s,M,M3,alder,alder_s_M
Fun_044,T114,Sample,b_alder_s,,,,
Fun_045,T032,Sample,alder_s,B,B3,alder,alder_s_B
Fun_046,T030,Sample,alder_s,B,B1,alder,alder_s_B
Fun_047,T115,Sample,b_algae_l,,,,
Fun_048,T113,Sample,b_alder_l,,,,
Fun_049,T116,Sample,b_algae_s,,,,
Fun_050,T048,Sample,algae_s,C,C1,algae,algae_s_C
Fun_051,T047,Sample,algae_l,B,B3,algae,algae_l_B
Fun_052,T045,Sample,algae_l,B,B1,algae,algae_l_B
Fun_053,T049,Sample,algae_s,C,C2,algae,algae_s_C
Fun_054,T043,Sample,algae_l,M,M2,algae,algae_l_M
Fun_055,T089,Sample,feces_s,M,M3,feces,feces_s_M
Fun_056,T046,Sample,algae_l,B,B2,algae,algae_l_B
Fun_057,T044,Sample,algae_l,M,M3,algae,algae_l_M
Fun_058,T090,Sample,feces_s,B,B1,feces,feces_s_B
Fun_059,T088,Sample,feces_s,M,M2,feces,feces_s_M
Fun_060,T091,Sample,feces_s,B,B2,feces,feces_s_B
Fun_061,B1,Miss,,,,,
Fun_062,B2,Miss,,,,,
Fun_063,B3,Miss,,,,,
Fun_064,B4,Miss,,,,,
Fun_065,B5,Miss,,,,,
Fun_066,B6,Miss,,,,,
