"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"dd394169cc6ef13eb9b3fa39a501c038","Fungi",NA,NA,NA,NA,NA,NA
"46bb506cd300f76f0f75d8a7f9a681b4","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"79df431e4af83054cf3aea0465a2b5ea","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"8ddde1d14135a209357630b67869caa7","Fungi",NA,NA,NA,NA,NA,NA
"e6f3fb7d31bdd7686398707942491537","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans"
"b3e776671dcc86dc99a4b20300b8a204","Fungi",NA,NA,NA,NA,NA,NA
"d6401113e9c8f82041604baeabc6b187","Fungi",NA,NA,NA,NA,NA,NA
"5848680771618eee66bc844e2db4ebd4","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"29086701d1f5919659e2739cc0a37d82","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans"
"aac5b08fa0f5eeaaa54a0c8f4154a6d2","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Thelebolus","Thelebolus_sp"
"07f589c049548fd2128cec42072a9d4c","Fungi",NA,NA,NA,NA,NA,NA
"a1d92bd186f42a95349519ddf9aa91fb","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"6e5acbe22fbc6a684db46a120e9f74ea","Fungi",NA,NA,NA,NA,NA,NA
"c1a9e87b41cdbdd611acf419998c12ca","Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","Microstromatales_fam_Incertae_sedis","Pseudomicrostroma","Pseudomicrostroma_sp"
"b6155a78d66e06baed759508b47f4ec8","Fungi",NA,NA,NA,NA,NA,NA
"7e910b6456109c70bda898a1744096d4","Fungi",NA,NA,NA,NA,NA,NA
"5a5ae0e4fa677fdd087c0f6764761214","Fungi",NA,NA,NA,NA,NA,NA
"0689097c5a5eb7fa52dca6e8ffdc615d","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium","Curvibasidium_sp"
"fd49afeea05ea589b5d01bc1387bc139","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Tetrachaetum","Tetrachaetum_elegans"
"e09e76cd7cbe91138eb577f7abec19b2","Fungi",NA,NA,NA,NA,NA,NA
"d854488b6221f9df4bdf40fd52992a59","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"66743b133436023aad67942e15edd8f9","Fungi",NA,NA,NA,NA,NA,NA
"c957bc56d41b2c8afcd96b00aab789c9","Fungi",NA,NA,NA,NA,NA,NA
"683724960932ba975963b2447692db7e","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"7a1c2fe35bf31b3e2090c15ed19bdeae","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae"
"d6b910c92cc9158bdf574de013669a30","Fungi",NA,NA,NA,NA,NA,NA
"c37dd1e535482014cbb5bd9aa864c2d3","Fungi",NA,NA,NA,NA,NA,NA
"0167ba52b37db72a6e74b1ffdf1e8c7c","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"95b8f9cc2c8671f62fe85fb53f4289f3","Fungi",NA,NA,NA,NA,NA,NA
"b69f758c15c65176a498709815701b3b","Fungi",NA,NA,NA,NA,NA,NA
"45631d9c65545ed312005b3293a0946b","Fungi",NA,NA,NA,NA,NA,NA
"642a3aa146803395bb01afd89205e2c4","Fungi",NA,NA,NA,NA,NA,NA
"8c54a42efc88d3c07c227c0cb46b84be","Fungi",NA,NA,NA,NA,NA,NA
"277ab749a662c377adefa6a032102c63","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Lemonniera","Lemonniera_centrosphaera"
"e5f64e3d3b97684a8bc7e69deeb67de8","Fungi",NA,NA,NA,NA,NA,NA
"69f67412f6d0f6ed8537b40d0f34e8bc","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"9896f7b3cf9bd0b0839caa8fffa94a43","Fungi",NA,NA,NA,NA,NA,NA
"54264f5a5422c3cc71ccc6d49629d74a","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Flagellospora","Flagellospora_curvula"
"b1f9817e510086a5b0fe9a4b0b515f39","Fungi",NA,NA,NA,NA,NA,NA
"6e363620c3d7f185c006e7f5f437422f","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"312d2c41e878eee9e2aa0950d232cb8e","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","Hormonema_sp"
"f25341d99350562755613772d36a40a0","Fungi",NA,NA,NA,NA,NA,NA
"6b7b3153f86ee62a0aacee90a0d0118c","Fungi",NA,NA,NA,NA,NA,NA
"96e4b3e15f443edf34ef143961e7ad40","Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","Microstromatales_fam_Incertae_sedis","Pseudomicrostroma","Pseudomicrostroma_sp"
"011ae9b9e5c4e93cf43b3d78d8324a65","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus","Rhodosporidiobolus_colostri"
"8679443f4b10240b4742a0d51108b620","Fungi",NA,NA,NA,NA,NA,NA
"d0d16449c829114c39b8c40217ff1dbc","Fungi",NA,NA,NA,NA,NA,NA
"cdf4caaa323d4c5489f16391d139813c","Fungi",NA,NA,NA,NA,NA,NA
"1a566f57f53aa791cfc4569512396195","Fungi",NA,NA,NA,NA,NA,NA
"a84092b6155f81087401325bf9c1e2bf","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"fb2832a28e377bb3e5702f77807dd28e","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA
"9a77e57e84eec1ab7d49fffd03a74fc8","Fungi",NA,NA,NA,NA,NA,NA
"6111450ab5adf32b633de5d3dfd4b46e","Fungi",NA,NA,NA,NA,NA,NA
"b9f011d775ce8542c757dc538bf63a1f","Fungi",NA,NA,NA,NA,NA,NA
"816738fd32d62bf65a567248e263c783","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","Branch02","Branch02_fam_Incertae_sedis","Branch02_gen_Incertae_sedis","Branch02_sp"
"5f0b44624870e672b82fc6716b8aad01","Fungi",NA,NA,NA,NA,NA,NA
"894f79cf6dcf02b68db5f705e4cd8088","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA
"90c24eb9a39afa6a01bc2d0f213e805a","Fungi",NA,NA,NA,NA,NA,NA
"ad9da3724a49f61b50680ba7ee3947f4","Fungi",NA,NA,NA,NA,NA,NA
"4998b3c120cb4912ddcc77878ac45df2","Fungi",NA,NA,NA,NA,NA,NA
"3487e7a66b1216ab236c1206ef2508a3","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_glutinis"
"1455565e7c2198d1f5f87a6915b8e5a2","Fungi",NA,NA,NA,NA,NA,NA
"05b744ac763e08e72b544337f6846d84","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"768ba1df6010d8bf0a1618a5f736b8f1","Fungi",NA,NA,NA,NA,NA,NA
"d5b8f3f0393bf0531bb6cd2fbcc7f5c6","Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","Microstromatales_fam_Incertae_sedis","Pseudomicrostroma","Pseudomicrostroma_sp"
"bb99bd6ab9f193dc1ed44c3bc8e10652","Fungi",NA,NA,NA,NA,NA,NA
"714f6a34e95c5e894dc374f0c399001f","Fungi",NA,NA,NA,NA,NA,NA
"8c97ac471880e482d370a14e3f3ae4a6","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","Rozellomycota_sp"
"9fd168d363baaa01b1e4d633e18a9eeb","Fungi",NA,NA,NA,NA,NA,NA
"4bc82a4f83456c7013aeadcec45088da","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Lemonniera","Lemonniera_centrosphaera"
"b11346b4b4933fd37da92ead3caae24c","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_aquaeductuum"
"3b2f1153b019feac7f78a9af45bf5dae","Fungi",NA,NA,NA,NA,NA,NA
